"board","drift_deg","roll_case","n_elements","drag_total_n","lift_total_n","incidence_deg_mean","n_incidence","pos_y"
"Bruce Iron Brewer Gun","45","3","11","16500.1398010254","17080.775390625","13.891767133366","11","0.0539523549377918"
"Bruce Iron Brewer Gun","45","4","12","23791.7320861816","16843.7016906738","18.4139204422633","12","0.0719364732503891"
"Bruce Iron Brewer Gun","5","0","11","267637.432876587","424169.17489624","26.2093097946861","11","0"
"Bruce Iron Brewer Gun","5","1","10","236358.488098145","176933.1171875","25.8896057605743","10","0.0179841183125973"
"Bruce Iron Brewer Gun","5","2","11","187610.589630127","101856.351806641","21.5967153458941","11","0.0359682366251945"
"Bruce Iron Brewer Gun","5","3","10","92898.9779815674","40459.5770263672","27.5538842580747","10","0.0539523549377918"
"Bruce Iron Brewer Gun","5","4","9","3001.91191864014","4649.88427734375","21.0161271625095","9","0.0719364732503891"
"Bruce Iron Brewer Gun","60","0","4","385.165618896484","2091.86962890625","12.699579834938","4","0.0179841183125973"
"Bruce Iron Brewer Gun","60","1","12","281795.550682068","459909.862304688","27.4722465276718","12","0.0359682366251945"
"Bruce Iron Brewer Gun","60","2","11","80868.2162628174","122159.975891113","15.6484911658547","11","0.0539523549377918"
"Bruce Iron Brewer Gun","60","3","11","25142.7661743164","25843.9294433594","15.7384521527724","11","0.0719364732503891"
"Bruce Iron Brewer Gun","75","0","3","287.414505004883","1577.70098876953","15.9107398986816","3","0.0179841183125973"
"Bruce Iron Brewer Gun","75","1","11","197978.220085144","336816.298797607","21.4287222948941","11","0.0359682366251945"
"Bruce Iron Brewer Gun","75","2","11","106177.310432434","173945.862976074","21.8566341616891","11","0.0539523549377918"
"Bruce Iron Brewer Gun","75","3","10","55057.4808044434","83393.6675109863","26.9595768928528","10","0.0719364732503891"
"Bruce Iron Brewer Gun","90","0","3","307.263168334961","1578.56512451172","15.3583574295044","3","0.0179841183125973"
"Bruce Iron Brewer Gun","90","1","12","288707.789375305","495639.323150635","26.7386356194814","12","0.0359682366251945"
"Bruce Iron Brewer Gun","90","2","10","144952.784080505","247140.041931152","32.1070839881897","10","0.0539523549377918"
"Bruce Iron Brewer Gun","90","3","10","68513.3435668945","111954.198425293","30.2568480968475","10","0.0719364732503891"
