"board","drift_deg","roll_case","n_elements","rho_v_kg_m2_s","rho_kgm3","n_rho_refused","scan_speed_ms","board_speed_setting_ms","roll_rad","roll_min_rad","roll_max_rad","turn_radius_m","yaw_rate_rad_s","drag_total_n","drag_friction_n","drag_planing_n","drag_rail_n","lift_total_n","contact_area_m2","volume_litres","total_mass_kg"
"default_paddle","2","0","12","20460.0009513075","1023","0","20.0000009299194","4","-0.0662496817458305","-0.380049139261246","-0.000165227014804259","19.0781726837158","1.04831847690478","448129.721160889","4339.79506731033","441184.39083007","-956.113960266113","777683.508728027","8.2332821181044","665.893323048949","6.58317470550537"
"default_paddle","2","1","11","20459.9995608509","1023","0","19.9999995707242","4","0.553579104894942","0.0430614203214645","1.24912655353546","19.0781726837158","1.04831840566132","460654.099533081","3895.39749717712","456667.765776157","706.126281738281","393661.75994873","7.25398976542056","580.691567674279","6.58317470550537"
"default_paddle","2","2","10","20459.9989677684","1023","0","19.9999989909759","4","0.664441592246294","0.0639009550213814","1.35120320320129","19.0781726837158","1.04831837527327","275484.087867737","2662.50320243835","271568.077709556","327.785263061523","145009.414916992","4.80354859307408","375.447781383991","6.58317470550537"
"default_paddle","2","3","8","20459.9994867691","1023","0","19.999999498308","4","0.88998069986701","0.31204679608345","1.3988755941391","19.0781726837158","1.04831840186555","86939.2929840088","894.251083850861","85691.8966064453","372.624176025391","32527.5337219238","1.5355278858915","111.759038463235","6.58317470550537"
"default_paddle","2","4","7","20459.9993266202","1023","0","19.9999993417598","4","1.11975148745946","0.738568663597107","1.31343615055084","19.0781726837158","1.04831839365993","3369.97373962402","213.934034824371","3166.12409973145","0","3622.64782714844","0.32531800866127","19.8207385241985","6.58317470550537"
"default_paddle","20","0","9","20460.0011450935","1023","0","20.0000011193485","4","-0.0909762809880906","-0.195475175976753","-0.0152260093018413","19.0781726837158","1.04831848683388","219348.412010193","2645.38913917542","213940.284970403","72.7430591583252","401623.39666748","4.6154702808708","347.806646585464","6.58317470550537"
"default_paddle","20","1","11","20459.9999935792","1023","0","19.9999999937235","4","0.396875699304722","0.0196156930178404","0.90297794342041","19.0781726837158","1.04831842783321","444834.698646545","3937.39800643921","437559.839338541","4004.72947692871","544407.871520996","6.8191183898598","543.234980687499","6.58317470550537"
"default_paddle","20","2","11","20460.0001202285","1023","0","20.0000001175254","4","0.551177432929928","0.0580272413790226","1.01861393451691","19.0781726837158","1.0483184343224","417135.896949768","3626.0324306488","408386.529037476","6323.59396362305","437920.358123779","6.06954297237098","479.853048980236","6.58317470550537"
"default_paddle","20","3","12","20459.9993040923","1023","0","19.9999993197383","4","0.584301741793752","0.06304881721735","1.12779855728149","19.0781726837158","1.04831839250566","146545.537643433","1599.9236907959","135844.005615473","11397.2579345703","119502.517456055","2.50197407696396","191.651261150837","6.58317470550537"
"default_paddle","20","4","10","20459.9998810179","1023","0","19.999999883693","4","0.324972713366151","0.0429406575858593","1.14230704307556","19.0781726837158","1.04831842206586","26604.3522186279","442.41143321991","22347.1588859558","4438.00158691406","18885.6870117188","0.620445351116359","42.4965929090977","6.58317470550537"
