"board","drift_deg","roll_case","element_index","board_speed_setting_ms","rho_v_kg_m2_s","rho_kgm3","scan_speed_ms","turn_radius_m","roll_attack_rad","drag_total_n","drag_friction_n","drag_planing_n","drag_rail_n","drag_rocker_n","lift_total_n","lift_planing_n","contact_area_m2","frontal_section_m2","mass_flux_kg_s","wetted_length_mm","element_width_mm","plane_delta_deg","volume_litres"
"default_longboard","75","3","4","4","20460.0003625779","1023","20.0000003544261","100000","0.051271453499794","734.85986328125","65.4811019897461","79.2586135864258","591.259033203125","0","500.746795654297","493.913818359375","0.0880974903702736","0.00763391982764006","156.190002441406","34.1314277648926","2581.12524414063","0.892589211463928","2.5192928314209"
"default_longboard","75","3","5","4","20459.9982935882","1023","19.9999983319533","100000","0.0480552688241005","884.616760253906","78.7249069213867","81.3134918212891","725.725891113281","0","511.063659667969","491.399475097656","0.106360398232937","0.00748589541763067","153.161407470703","64.3045272827148","1654.01098632813","0.318683624267578","3.27570366859436"
"default_longboard","75","3","6","4","20459.9977262816","1023","19.9999977774014","100000","0.00758025189861655","1996.62951660156","146.13493347168","13.5792293548584","1840.17150878906","0","317.060028076172","343.112701416016","0.200119525194168","0.012497816234827","255.705291748047","158.602722167969","1261.76599121094","0.169615656137466","8.33043766021729"
"default_longboard","75","3","7","4","20460.0005425659","1023","20.0000005303674","100000","0.00081915914779529","2000.26184082031","124.312828063965","19.0500297546387","1860.23486328125","0","314.564910888672","355.047241210938","0.170537799596786","0.011280938051641","230.807998657227","177.030395507813","963.324951171875","-0.374478816986084","7.0159387588501"
"default_longboard","75","3","8","4","20459.9982403728","1023","19.9999982799343","100000","0.00648720096796751","2111.44189453125","140.424942016602","15.82546043396","1958.65173339844","0","304.099700927734","338.022399902344","0.192642197012901","0.0117816096171737","241.051712036133","213.451934814453","902.508544921875","-0.949424386024475","8.19167804718018"
"default_longboard","75","3","9","4","20460.0002961846","1023","20.0000002895255","100000","0.0122074605897069","1895.27465820313","83.5371170043945","36.3332824707031","1779.03466796875","0","328.640686035156","388.090942382813","0.112908467650414","0.00865338742733002","177.048309326172","195.355133056641","577.965209960938","-1.12752532958984","4.42745685577393"
"default_longboard","75","3","10","4","20459.9981016297","1023","19.9999981443106","100000","0.203019618988037","12178.9541015625","114.27995300293","10401.818359375","2223.68969726563","0","19325.267578125","21178.484375","0.156486317515373","0.105072729289532","2149.78784179688","239.584655761719","653.156677246094","-1.3318532705307","6.6626181602478"
"default_longboard","90","0","0","4","20459.998608188","1023","19.99999863948","100000","0.324219107627869","95.4856338500977","12.8893041610718","83.1028747558594","0","0","529.585021972656","559.373840332031","0.0214252583682537","0.00512564275413752","104.870643615723","9.09349918365479","2356.10717773438","3.52004933357239","0.272646576166153"
"default_longboard","90","0","1","4","20460.0003608691","1023","20.0000003527558","100000","0.23335337638855","79.6152496337891","34.8886528015137","45.1880378723145","0","0","525.414306640625","535.611511230469","0.0512113310396671","0.00813460722565651","166.434066772461","45.4345893859863","1127.14404296875","1.9000495672226","0.97519850730896"
"default_longboard","90","0","2","4","20460.0020360495","1023","20.0000019902733","100000","0.15587954223156","123.730445861816","101.263534545898","22.8707580566406","0","0","518.701904296875","492.971496582031","0.154497861862183","0.013382175937295","273.799346923828","118.702629089355","1301.55383300781","0.727006733417511","4.03867292404175"
"default_longboard","90","0","3","4","20460.0006407784","1023","20.0000006263719","100000","0.121019192039967","518.940795898438","188.197448730469","13.6486167907715","317.635803222656","0","495.392303466797","424.634521484375","0.289295613765717","0.0167550686746836","342.808715820313","166.797500610352","1734.412109375","0.478753089904785","9.4006462097168"
"default_longboard","90","0","4","4","20460.0003810382","1023","20.0000003724713","100000","0.105295307934284","704.810180664063","205.098266601563","12.7898759841919","487.460083007813","0","493.838165283203","409.594665527344","0.313921630382538","0.0167376846075058","342.453033447266","127.684387207031","2458.57495117188","0.71174031496048","10.7384405136108"
"default_longboard","90","0","5","4","20459.9970053812","1023","19.9999970727089","100000","0.103624850511551","646.981018066406","227.022125244141","11.2166576385498","409.250061035156","0","497.937194824219","395.359466552734","0.350533097982407","0.0175079833716154","358.213287353516","143.978942871094","2434.61376953125","0.614123582839966","12.3464107513428"
"default_longboard","90","1","0","4","20459.9989073474","1023","19.9999989319134","100000","0.189513385295868","85.0194778442383","15.0732250213623","70.4203109741211","0","0","528.98291015625","538.853820800781","0.0222996007651091","0.00546015473082662","111.71475982666","94.8218536376953","235.173645019531","2.99224662780762","0.344707041978836"
"default_longboard","90","1","1","4","20460.0032142581","1023","20.0000031419923","100000","0.158053547143936","77.9552993774414","31.634334564209","46.7859802246094","0","0","525.695129394531","528.873168945313","0.0450158789753914","0.0076406360603869","156.327438354492","81.2477493286133","554.056945800781","2.75246548652649","0.870956420898438"
"default_longboard","90","1","2","4","20459.9986597759","1023","19.999998689908","100000","0.138080835342407","113.741912841797","38.6683654785156","41.9421234130859","33.844970703125","0","516.412109375","519.773315429688","0.0554637424647808","0.00832768902182579","170.384506225586","87.028450012207","637.305847167969","2.63141107559204","1.15128993988037"
"default_longboard","90","1","3","4","20459.9986344045","1023","19.999998665107","100000","0.11002130061388","571.19580078125","103.546005249023","28.4047012329102","440.338623046875","0","499.319000244141","477.635498046875","0.148917853832245","0.0118257077410817","241.953964233398","53.9815292358398","2758.68188476563","2.1785900592804","4.29329872131348"
"default_longboard","90","1","4","4","20460.0024071655","1023","20.0000023530455","100000","0.0927348881959915","1114.79760742188","164.46940612793","16.6673355102539","935.170471191406","0","489.4970703125","432.281768798828","0.238728925585747","0.0136899258941412","280.095916748047","48.6713829040527","4904.91357421875","1.73692274093628","8.22053146362305"
"default_longboard","90","1","5","4","20459.9981673515","1023","19.9999982085547","100000","0.0719523131847382","1460.86608886719","255.832794189453","8.85689067840576","1197.29577636719","0","471.772521972656","351.594146728516","0.383338004350662","0.0163269340991974","334.049041748047","12.9339075088501","29638.22265625","1.52211201190948","15.2831354141235"
"default_longboard","90","1","6","4","20460.0013654978","1023","20.0000013347974","100000","0.0827580913901329","1194.77392578125","300.921447753906","-7.64823865890503","904.988342285156","0","543.260986328125","356.221984863281","0.476116508245468","0.0141182048246264","288.858489990234","85.5528106689453","5565.17626953125","0.315121829509735","18.4145565032959"
"default_longboard","90","1","7","4","20459.9988269024","1023","19.999998853277","100000","0.0687728002667427","1479.53283691406","337.736236572266","-6.19774436950684","1151.18701171875","0","542.596740722656","323.522399902344","0.52630341053009","0.0139472410082817","285.360534667969","32.2353782653809","16326.888671875","0.177404478192329","21.594539642334"
"default_longboard","90","1","8","4","20460.0022945893","1023","20.0000022430003","100000","0.0437930189073086","1324.1025390625","402.721343994141","-4.44394063949585","905.18701171875","0","532.078430175781","256.6640625","0.632290005683899","0.0130384145304561","266.765991210938","32.9219093322754","19205.751953125","-0.246993169188499","27.6809005737305"
"default_longboard","90","1","9","4","20460.0026744816","1023","20.0000026143515","100000","0.033272497355938","1656.34985351563","430.284790039063","-6.72756767272949","1166.42260742188","0","527.347045898438","227.824249267578","0.672595918178558","0.0113521497696638","232.265014648438","12.4057111740112","54216.63671875","-0.494587600231171","30.3069591522217"
"default_longboard","90","1","10","4","20459.9973340403","1023","19.9999973939788","100000","0.00762916961684823","1498.11889648438","488.899932861328","1.92283487319946","662.237487792969","0","513.163696289063","168.952728271484","0.75394469499588","0.0120284259319305","246.1015625","18.8962230682373","39899.22265625","-1.02860128879547","35.4544830322266"
"default_longboard","90","2","0","4","20460.0001254723","1023","20.0000001226514","100000","0.186689302325249","163.682434082031","3.50063037872314","160.571426391602","0","0","533.292236328125","543.362426757813","0.00710476981475949","0.0033920977730304","69.4023208618164","184.079986572266","38.5960998535156","5.51746845245361","0.0895936489105225"
"default_longboard","90","2","1","4","20459.9996101673","1023","19.9999996189319","100000","0.134772449731827","85.5074234008789","20.3614883422852","65.5873641967773","0","0","528.153991699219","531.774291992188","0.0299237594008446","0.00624015089124441","127.673484802246","163.738861083984","182.752944946289","2.71766090393066","0.528006553649902"
"default_longboard","90","2","2","4","20460.0031055541","1023","20.0000030357323","100000","0.124685630202293","89.8476638793945","27.9242763519287","62.3676414489746","0","0","526.820129394531","527.904113769531","0.0395622029900551","0.00704560009762645","144.15299987793","163.629379272461","241.779327392578","2.49748039245605","0.775061309337616"
"default_longboard","90","2","3","4","20459.9971208139","1023","19.9999971855464","100000","0.103720538318157","490.701202392578","78.2952651977539","35.600959777832","378.04296875","0","476.021545410156","478.415222167969","0.110011003911495","0.0105709116905928","216.280822753906","133.754302978516","822.485717773438","1.83681929111481","3.0232937335968"
"default_longboard","90","2","4","4","20460.0005687198","1023","20.0000005559333","100000","0.0950967445969582","878.801391601563","110.323173522949","34.9489212036133","735.3310546875","0","501.87939453125","472.757202148438","0.155676156282425","0.0106835542246699","218.585525512695","145.437377929688","1070.39990234375","1.29909360408783","4.8320426940918"
"default_longboard","90","2","5","4","20460.0025487221","1023","20.0000024914195","100000","0.0646808296442032","1771.20886230469","165.840545654297","14.1792240142822","1593.46008300781","0","414.539245605469","384.947204589844","0.23420387506485","0.0130231287330389","266.453247070313","140.069885253906","1672.05017089844","0.668593406677246","9.09772205352783"
"default_longboard","90","2","6","4","20459.9989485001","1023","19.9999989721408","100000","0.0468124747276306","1861.85766601563","242.538604736328","8.11937713623047","1613.02465820313","0","385.958770751953","311.070526123047","0.352385610342026","0.0155282439664006","317.707855224609","102.559669494629","3435.90795898438","-0.0860176011919975","14.9889631271362"
"default_longboard","90","2","7","4","20459.9990652065","1023","19.9999990862233","100000","0.0389483235776424","1795.55334472656","243.043258666992","8.21116256713867","1546.18444824219","0","383.915893554688","308.247985839844","0.348522245883942","0.0153547739610076","314.158660888672","121.129264831543","2877.27514648438","-0.571241617202759","15.1577711105347"
"default_longboard","90","2","8","4","20459.9974559675","1023","19.9999975131647","100000","0.0368449240922928","2036.51513671875","357.402069091797","-5.48268032073975","1687.76257324219","0","503.019348144531","277.777770996094","0.54028195142746","0.0122974012047052","251.604797363281","77.8655700683594","6938.64990234375","-1.07448244094849","24.123498916626"
"default_longboard","90","2","9","4","20459.9982570966","1023","19.9999982962821","100000","0.031465508043766","1413.02221679688","356.197357177734","-4.01882553100586","1062.98229980469","0","495.175231933594","273.342254638672","0.533113360404968","0.0118048870936036","241.527969360352","94.6416549682617","5632.96728515625","-1.54465055465698","24.1693553924561"
"default_longboard","90","3","0","4","20459.9998994481","1023","19.9999999017088","100000","0.112944699823856","197.450424194336","14.1357889175415","183.809051513672","0","0","530.1640625","532.479675292969","0.0221052728593349","0.00537202041596174","109.91153717041","227.764602661133","97.0531463623047","1.09376168251038","0.415428429841995"
"default_longboard","90","3","1","4","20460.0010141705","1023","20.000000991369","100000","0.110996827483177","149.377899169922","15.4725198745728","134.339248657227","0","0","530.000244140625","531.809326171875","0.023770010098815","0.00548047199845314","112.130462646484","233.224975585938","101.918800354004","0.754444181919098","0.462111383676529"
"default_longboard","90","3","2","4","20459.9998193056","1023","19.9999998233681","100000","0.11070965975523","323.356658935547","6.58493518829346","317.369689941406","0","0","532.03125","535.345825195313","0.0119307255372405","0.00453563407063484","92.799072265625","251.452575683594","47.4472236633301","-3.71271705627441","0.21135513484478"
"default_longboard","90","3","3","4","20460.0006985293","1023","20.0000006828244","100000","0.0944190695881844","621.882446289063","57.7040710449219","87.2011260986328","478.028564453125","0","498.980621337891","498.476501464844","0.0800605043768883","0.00764759071171284","156.469711303711","224.110443115234","357.236846923828","0.810096442699432","2.13321280479431"
"default_longboard","90","3","4","4","20460.0015355086","1023","20.000001500986","100000","0.0876476019620895","762.954711914063","68.8238525390625","95.6625518798828","599.548889160156","0","506.324493408203","495.857666015625","0.0953367426991463","0.00745296478271484","152.487670898438","234.05859375","407.320007324219","0.22414156794548","2.72848510742188"
"default_longboard","90","3","5","4","20460","1023","20","100000","0.077916607260704","1052.12133789063","100.784339904785","58.0640258789063","894.465393066406","0","488.966461181641","467.8837890625","0.139191776514053","0.00905609130859375","185.287628173828","226.821563720703","613.661987304688","-0.18308699131012","4.60290288925171"
"default_longboard","90","3","6","4","20460.002037145","1023","20.0000019913441","100000","0.0302838142961264","2137.97021484375","135.237152099609","13.5717058181763","1992.81274414063","0","313.836547851563","346.150909423828","0.187662556767464","0.0117218513041735","239.8291015625","201.470352172852","931.464904785156","-0.608544409275055","7.88192796707153"
"default_longboard","90","3","7","4","20459.9993370695","1023","19.9999993519741","100000","0.0305381920188665","1956.16760253906","96.3372955322266","23.0632572174072","1840.71447753906","0","311.380340576172","370.3984375","0.132510676980019","0.00971037149429321","198.674194335938","235.934661865234","561.641418457031","-1.01798593997955","5.34480142593384"
"default_longboard","90","3","8","4","20459.998069507","1023","19.9999981129101","100000","0.00312398886308074","10511.685546875","100.065696716309","8896.3447265625","1997.669921875","0","17180.154296875","18460.70703125","0.136669456958771","0.0918078497052193","1878.38842773438","237.226089477539","576.11474609375","-1.32159698009491","5.67650747299194"
"default_longboard","90","3","9","4","20459.999401051","1023","19.9999994145171","100000","0.0103871980682015","2326.86645507813","117.373542785645","15.5213813781738","2199.2333984375","0","323.945007324219","360.135192871094","0.163623154163361","0.00928603019565344","189.992172241211","221.072067260742","740.134887695313","-1.56687009334564","6.97821378707886"
"default_paddle","0","0","0","4","20459.9988433382","1023","19.9999988693434","19.0781726837158","-0.0619218312203884","122.120094299316","7.21170282363892","115.434936523438","0","0","548.620788574219","550.314758300781","0.010375764220953","0.00387131236493587","79.2070465087891","76.337028503418","135.920455932617","5.32997894287109","0.205312147736549"
"default_paddle","0","0","1","4","20459.9994122217","1023","19.9999994254366","19.0781726837158","-0.0339523814618587","77.8755416870117","26.42214012146","51.9230499267578","0","0","544.855773925781","538.529541015625","0.0382959991693497","0.00713966367766261","146.077514648438","152.644287109375","250.883941650391","5.23811388015747","1.15515053272247"
"default_paddle","0","0","2","4","20460.00249798","1023","20.0000024418182","19.0781726837158","-0.000212919301702641","77.9057998657227","33.0074043273926","45.3581390380859","0","0","544.102233886719","533.999572753906","0.0471148118376732","0.00795768946409225","162.814346313477","152.644287109375","308.657562255859","5.23811388015747","1.55364894866943"
"default_paddle","0","0","3","4","20460.0001227571","1023","20.0000001199972","19.0781726837158","-0.000291974429273978","119.916946411133","99.8719787597656","20.4154891967773","0","0","537.903381347656","471.414642333984","0.156472191214561","0.0134436478838325","275.057037353516","457.554260253906","341.975158691406","4.71451568603516","7.48111009597778"
"default_paddle","0","0","4","4","20459.9992898466","1023","19.9999993058129","19.0781726837158","-0.0001985720009543","191.037979125977","181.139404296875","10.1724157333374","0","0","535.207824707031","368.1611328125","0.30093389749527","0.0164087191224098","335.722381591797","685.751770019531","438.837921142578","4.09003305435181","17.635498046875"
"default_paddle","0","0","5","4","20460.0009744392","1023","20.000000952531","19.0781726837158","-0.00013662532728631","274.773223876953","271.006713867188","3.92764139175415","0","0","536.492126464844","225.160934448242","0.468422919511795","0.0159725341945887","326.798065185547","989.849182128906","473.2265625","3.49850988388062","31.9487361907959"
"default_paddle","0","0","6","4","20459.9988611887","1023","19.9999988867925","19.0781726837158","-0.000104435785033274","363.45263671875","364.048492431641","-0.551095008850098","0","0","566.198486328125","66.3431549072266","0.652243196964264","-0.01001644320786","-204.936416625977","1217.8798828125","535.556274414063","3.1804940700531","49.2541694641113"
"default_paddle","0","0","7","4","20460.0028355512","1023","20.0000027717998","19.0781726837158","-1.8399008695269E-05","61020.359375","465.206939697266","60451.203125","209.259567260742","0","116728.3359375","116621.4375","0.856332659721375","0.573018252849579","11723.955078125","1521.8759765625","562.682250976563","2.84249877929688","69.5856857299805"
"default_paddle","0","0","8","4","20459.9975138851","1023","19.9999975697802","19.0781726837158","-8.42987647047266E-05","1590.49938964844","562.383728027344","0.00916654989123344","-358.471038818359","0","565.550598144531","5.96724843978882","1.06581091880798","0.00162412005010992","33.2294921875","1749.80126953125","609.10400390625","2.59778451919556","91.0699920654297"
"default_paddle","0","0","9","4","20460.0012436981","1023","20.0000012157362","19.0781726837158","-0.00216210377402604","1313.3828125","663.031616210938","0.0330489687621593","198.610168457031","0","560.920959472656","10.5226831436157","1.2843542098999","0.00426385691389441","87.2385177612305","2053.51782226563","625.441040039063","2.2012734413147","112.606559753418"
"default_paddle","0","0","10","4","20459.9968664479","1023","19.9999969368992","19.0781726837158","-0.0223389267921448","120079.9921875","764.768310546875","119408.0390625","170.101470947266","0","214050.890625","214198.953125","1.50295054912567","1.04800474643707","21442.173828125","2356.9560546875","637.665954589844","1.63057863712311","130.751815795898"
"default_paddle","0","0","11","4","20460.0000765027","1023","20.0000000747827","19.0781726837158","-0.0905483514070511","143619.375","848.339721679688","142405.09375","-476.9375","0","245378.21875","246083.3125","1.7299827337265","1.20295870304108","24612.53515625","2736.11108398438","632.277954101563","0.516053974628448","142.921264648438"
"default_paddle","0","0","12","4","20460.0017870872","1023","20.0000017469083","19.0781726837158","-0.000974154798313975","1770.810546875","882.942016601563","0.0560363568365574","-494.109649658203","0","574.718383789063","17.6501388549805","1.80465161800385","0.00710522243753076","145.372863769531","2888.00415039063","624.878479003906","-0.1039929240942","143.2021484375"
"default_paddle","0","1","0","4","20459.9988991663","1023","19.9999989239163","19.0781726837158","0.470949411392212","136.028381347656","8.05322551727295","128.556716918945","0","0","549.727294921875","617.138854980469","0.0115317609161139","0.00436205696314573","89.2476806640625","128.939117431641","89.4357070922852","5.08462190628052","0.244015008211136"
"default_paddle","0","1","1","4","20460.0024981312","1023","20.0000024419659","19.0781726837158","0.225748330354691","81.7130966186523","22.3909568786621","59.8132095336914","0","0","545.992126464844","555.369934082031","0.0313858576118946","0.00666281953454018","136.321304321289","203.272796630859","154.40266418457","4.88643074035645","0.922525107860565"
"default_paddle","0","1","2","4","20460.002163152","1023","20.0000021145181","19.0781726837158","0.118808515369892","111.102828979492","88.4188842773438","23.0694026947021","0","0","538.772155761719","485.83154296875","0.137167930603027","0.0127508603036404","260.882629394531","426.190216064453","321.846710205078","4.43287467956543","6.42908573150635"
"default_paddle","0","1","3","4","20460.0016578491","1023","20.0000016205758","19.0781726837158","0.0888087451457977","177.080322265625","165.573883056641","11.7956943511963","0","0","535.793762207031","386.624267578125","0.27108708024025","0.0159002132713795","325.318389892578","723.111328125","374.889831542969","3.88937449455261","15.976752281189"
"default_paddle","0","1","4","4","20460.0017136833","1023","20.0000016751548","19.0781726837158","0.0557971149682999","391.015594482422","268.228332519531","4.08431434631348","118.937995910645","0","528.419372558594","225.849655151367","0.454724490642548","0.0157995410263538","323.258636474609","1019.79888916016","445.896240234375","3.43681716918945","31.51291847229"
"default_paddle","0","1","5","4","20459.9995834227","1023","19.9999995927885","19.0781726837158","0.0430818237364292","596.011047363281","354.148010253906","0.654617667198181","241.260604858398","0","540.966186523438","68.6479187011719","0.627882599830627","0.00972956418991089","199.066879272461","1242.24011230469","505.443878173828","3.16637825965881","47.7737159729004"
"default_paddle","0","1","6","4","20460.0007465317","1023","20.0000007297475","19.0781726837158","0.832855701446533","57325.66796875","431.072631835938","56716.67578125","27.2965698242188","0","73419.390625","108614.5390625","0.790745198726654","0.533345103263855","10912.2412109375","1538.74035644531","513.891235351563","2.8465371131897","63.8840484619141"
"default_paddle","0","1","7","4","20460.000545605","1023","20.0000005333383","19.0781726837158","0.946283340454102","75628.0390625","532.93212890625","74978.2578125","117.180267333984","0","82206.1875","140093.015625","0.996447384357452","0.686932802200317","14054.6455078125","1835.09008789063","542.996459960938","2.50284147262573","84.0566101074219"
"default_paddle","0","1","8","4","20460.0034509383","1023","20.0000033733512","19.0781726837158","1.07166481018066","91925.8828125","613.8798828125","91312.1015625","235.134002685547","0","80089.2109375","166745.25","1.18021941184998","0.816827952861786","16712.302734375","2131.21069335938","553.77880859375","2.05342674255371","100.767890930176"
"default_paddle","0","1","9","4","20460.0001625538","1023","20.0000001588992","19.0781726837158","1.25235521793365","113931.3125","697.248291015625","113044.7890625","-306.478698730469","0","62400.34765625","197801.8125","1.36938655376434","0.96802544593811","19805.80078125","2722.95849609375","502.903930664063","0.501161694526672","114.202354431152"
"default_paddle","0","2","0","4","20459.9995771921","1023","19.999999586698","19.0781726837158","0.445129245519638","88.3446655273438","24.504093170166","64.3668594360352","0","0","545.990295410156","597.576904296875","0.0342629179358482","0.00722488388419151","147.82112121582","304.309875488281","112.59220123291","4.55827188491821","1.11491215229034"
"default_paddle","0","2","1","4","20459.9987267809","1023","19.9999987554065","19.0781726837158","0.40154042840004","84.8029708862305","32.7098693847656","52.5915374755859","0","0","544.6708984375","579.185913085938","0.0463124662637711","0.00823636073619127","168.515930175781","374.055877685547","123.811614990234","4.39088582992554","1.66995215415955"
"default_paddle","0","2","2","4","20460.0007426517","1023","20.0000007259547","19.0781726837158","0.21477547287941","119.003440856934","96.8712005615234","22.5099239349365","0","0","538.675476074219","480.986724853516","0.148776590824127","0.0131976259872317","270.0234375","583.255310058594","255.079711914063","3.95801734924316","7.6669340133667"
"default_paddle","0","2","3","4","20460.001612315","1023","20.0000015760655","19.0781726837158","0.193091973662376","157.484848022461","142.935745239258","14.8604431152344","0","0","537.075866699219","415.448425292969","0.230641663074493","0.0150530552491546","307.985534667969","792.367431640625","291.079162597656","3.62537956237793","13.7859573364258"
"default_paddle","0","2","4","4","20460.0015894091","1023","20.0000015536746","19.0781726837158","0.111278668045998","548.467163085938","287.157379150391","2.7984094619751","258.747375488281","0","523.992370605469","172.257247924805","0.496757000684738","0.013945734128356","285.329742431641","1280.03833007813","388.079803466797","3.05649375915527","36.7037124633789"
"default_paddle","0","2","5","4","20460.0023997744","1023","20.0000023458206","19.0781726837158","1.16443467140198","45670.28515625","342.339385986328","45157.13671875","167.814544677734","0","34296.62890625","85891.4609375","0.611876130104065","0.421742498874664","8628.8525390625","1558.5595703125","392.590789794922","2.76828765869141","48.33837890625"
