board,drift_deg,roll_case,element_index,sub_index,rho_v_kg_m2_s,rho_kgm3,scan_speed_ms,incidence_deg_derived,incidence_deg_stored_parent
default_shortboard,0,0,3,2,20460.000071075,1023.0,20.000000069477,7.18550744669285,6.09698915481567
default_shortboard,0,0,3,3,20459.999507175,1023.0,19.9999995182551,7.47641302739099,6.09698915481567
default_shortboard,0,0,3,4,20460.0009477797,1023.0,20.0000009264709,7.47132531845209,6.09698915481567
default_shortboard,0,0,3,5,20460.0001147133,1023.0,20.0000001121342,7.4271574744296,6.09698915481567
default_shortboard,0,0,3,6,20460.0000452377,1023.0,20.0000000442206,7.40822980883502,6.09698915481567
default_shortboard,0,0,3,7,20460.0000751265,1023.0,20.0000000734374,6.87761919399607,6.09698915481567
default_shortboard,0,0,3,8,20460.00056566,1023.0,20.0000005529423,6.11667312097057,6.09698915481567
default_shortboard,0,0,3,9,20460.0003130642,1023.0,20.0000003060256,6.21274149443822,6.09698915481567
default_shortboard,0,0,4,0,20460.0000436198,1023.0,20.0000000426391,3.68758163677137,4.99956893920898
default_shortboard,0,0,4,1,20460.0013604174,1023.0,20.0000013298313,4.29478610059302,4.99956893920898
default_shortboard,0,0,4,2,20459.9996702388,1023.0,19.9999996776528,5.1037239746403,4.99956893920898
default_shortboard,0,0,4,3,20459.9992459116,1023.0,19.9999992628657,5.56896970751345,4.99956893920898
default_shortboard,0,0,4,4,20459.9984404218,1023.0,19.9999984754856,5.60489200870085,4.99956893920898
default_shortboard,0,0,4,5,20459.998441261,1023.0,19.9999984763059,5.54091091422403,4.99956893920898
default_shortboard,0,0,4,6,20460.0009882385,1023.0,20.00000096602,5.52654667385322,4.99956893920898
default_shortboard,0,0,4,7,20459.9996711073,1023.0,19.9999996785018,4.81596870806411,4.99956893920898
default_shortboard,0,0,4,8,20460.0001194329,1023.0,20.0000001167477,3.91833582386053,4.99956893920898
default_shortboard,0,0,4,9,20459.9994359822,1023.0,19.999999448663,3.56041503128128,4.99956893920898
default_shortboard,0,0,5,0,20460.000040657,1023.0,20.000000039743,2.12453206321016,4.49643754959106
default_shortboard,0,0,5,1,20460.0004156907,1023.0,20.0000004063448,2.87066675976327,4.49643754959106
default_shortboard,0,0,5,2,20459.9997372832,1023.0,19.9999997431898,4.00058786710325,4.49643754959106
default_shortboard,0,0,5,3,20460.0001199946,1023.0,20.0000001172968,4.50903547696769,4.49643754959106
default_shortboard,0,0,5,4,20459.9999406475,1023.0,19.9999999419819,4.58343379526284,4.49643754959106
default_shortboard,0,0,5,5,20459.999536063,1023.0,19.9999995464937,4.48665089293172,4.49643754959106
default_shortboard,0,0,5,6,20459.9996675001,1023.0,19.9999996749757,4.45689188650557,4.49643754959106
default_shortboard,0,0,5,7,20459.99940498,1023.0,19.9999994183578,3.46803945754103,4.49643754959106
default_shortboard,0,0,5,8,20459.9997791065,1023.0,19.9999997840728,2.81696812573945,4.49643754959106
default_shortboard,0,0,5,9,20460.0012305332,1023.0,20.0000012028673,2.17290295510329,4.49643754959106
default_shortboard,0,0,6,0,20460.0005254718,1023.0,20.0000005136576,1.48852502244982,4.09276294708252
default_shortboard,0,0,6,1,20460.00040461,1023.0,20.0000003955132,2.16972285010848,4.09276294708252
default_shortboard,0,0,6,2,20459.9997445214,1023.0,19.9999997502653,3.24931822408537,4.09276294708252
default_shortboard,0,0,6,3,20459.9996449635,1023.0,19.9999996529458,3.70854905830006,4.09276294708252
default_shortboard,0,0,6,4,20459.99980919,1023.0,19.99999981348,3.84171539455868,4.09276294708252
default_shortboard,0,0,6,5,20459.9999565761,1023.0,19.9999999575524,3.82540848435235,4.09276294708252
default_shortboard,0,0,6,6,20459.9994326064,1023.0,19.999999445363,3.67113711350953,4.09276294708252
default_shortboard,0,0,6,7,20459.999335229,1023.0,19.999999350175,2.83699683870127,4.09276294708252
default_shortboard,0,0,6,8,20459.9992676393,1023.0,19.9999992841049,2.14593199795969,4.09276294708252
default_shortboard,0,0,6,9,20459.9996767421,1023.0,19.9999996840099,1.45997347824333,4.09276294708252
default_shortboard,0,0,7,0,20460.0003425134,1023.0,20.0000003348127,1.32394776234364,3.65532469749451
default_shortboard,0,0,7,1,20459.9992158966,1023.0,19.9999992335255,1.84142416605841,3.65532469749451
default_shortboard,0,0,7,2,20460.0006628963,1023.0,20.0000006479924,2.75272545326988,3.65532469749451
default_shortboard,0,0,7,3,20459.9995025849,1023.0,19.9999995137682,3.183914869555,3.65532469749451
default_shortboard,0,0,7,4,20459.9985452923,1023.0,19.9999985779984,3.28560255694744,3.65532469749451
default_shortboard,0,0,7,5,20459.9998816502,1023.0,19.999999884311,3.30226843684989,3.65532469749451
default_shortboard,0,0,7,6,20459.9993598826,1023.0,19.9999993742743,3.09845414834045,3.65532469749451
default_shortboard,0,0,7,7,20459.9990799353,1023.0,19.999999100621,2.3547778500831,3.65532469749451
default_shortboard,0,0,7,8,20460.0000637213,1023.0,20.0000000622887,1.69361334843654,3.65532469749451
default_shortboard,0,0,7,9,20459.999310638,1023.0,19.9999993261369,1.16716836809045,3.65532469749451
default_shortboard,0,0,8,0,20459.9999516493,1023.0,19.9999999527363,1.63352683353629,3.12041807174683
default_shortboard,0,0,8,1,20460.0011563214,1023.0,20.000001130324,1.60501046130168,3.12041807174683
default_shortboard,0,0,8,2,20460.0002383985,1023.0,20.0000002330386,2.3509012545285,3.12041807174683
default_shortboard,0,0,8,3,20459.9996370638,1023.0,19.9999996452237,2.7897685531487,3.12041807174683
default_shortboard,0,0,8,4,20460.0006285858,1023.0,20.0000006144534,2.84022543051797,3.12041807174683
default_shortboard,0,0,8,5,20460.0006904459,1023.0,20.0000006749227,2.85966460436934,3.12041807174683
default_shortboard,0,0,8,6,20460.0011443362,1023.0,20.0000011186082,2.65655939119177,3.12041807174683
default_shortboard,0,0,8,7,20460.0002057683,1023.0,20.0000002011421,2.0357826874322,3.12041807174683
default_shortboard,0,0,8,8,20459.999393695,1023.0,19.9999994073265,1.44869911677666,3.12041807174683
default_shortboard,0,0,8,9,20460.0000786233,1023.0,20.0000000768556,1.23011410114947,3.12041807174683
default_shortboard,0,0,9,0,20459.9996719898,1023.0,19.9999996793645,1.20569680772522,2.33366537094116
default_shortboard,0,0,9,1,20459.999428163,1023.0,19.9999994410195,1.38757195824499,2.33366537094116
default_shortboard,0,0,9,2,20460.0000742181,1023.0,20.0000000725495,2.0667836122648,2.33366537094116
