board,drift_deg,roll_case,element_index,rho_v_kg_m2_s,rho_kgm3,scan_speed_ms,incidence_deg_derived,incidence_deg_residual,n_sub_elements
default_shortboard,2,2,7,20459.9977382846,1023,19.9999977891345,3.13010319736191,0.225591030384979,10
default_shortboard,2,3,0,20460.0016068725,1023,20.0000015707453,39.2644824758846,-5.73551752411542,10
default_shortboard,2,3,1,20460.0007984511,1023,20.0000007804996,10.9022805556915,-0.606748832736216,10
default_shortboard,2,3,2,20460.0012601487,1023,20.0000012318169,7.45701116063426,-1.09797483942678,10
default_shortboard,2,3,3,20459.9989314579,1023,19.9999989554818,5.99571824935411,-0.89276813599135,10
default_shortboard,2,3,4,20459.9990790581,1023,19.9999990997635,5.03016904602725,-0.759284937279637,10
default_shortboard,2,3,5,20459.9997702903,1023,19.9999997754549,4.52058771126458,-0.416002483437569,10
default_shortboard,2,3,6,20459.9989263647,1023,19.9999989505032,4.67975609448886,0.12931053784824,10
default_shortboard,2,4,0,20459.999573307,1023,19.9999995829003,45.1280143526634,0.128014352663406,10
default_shortboard,2,4,1,20459.9972879077,1023,19.9999973488834,49.1619338565924,4.16193385659238,10
default_shortboard,2,4,2,20460.0001374627,1023,20.0000001343721,21.2492287948983,-1.36740938869542,10
default_shortboard,2,4,3,20460.0007648011,1023,20.0000007476062,12.7214851417449,-1.50489520646072,10
default_shortboard,2,4,4,20460.0004845554,1023,20.0000004736612,10.3879500712737,-1.38963686567701,10
default_shortboard,2,4,5,20459.998474594,1023,19.9999985088896,10.6389774543175,-0.881434037076547,10
default_shortboard,2,4,6,20459.9980924326,1023,19.9999981353202,10.0894139228953,-0.578366953264368,10
default_shortboard,2,4,7,20460.0018053276,1023,20.0000017647387,13.5510369340094,-0.534267326244477,10
default_shortboard,20,0,0,20460.0035101344,1023,20.0000034312164,18.3357889746539,-1.13661169062926,10
default_shortboard,20,0,1,20460.0018953645,1023,20.0000018527513,14.0557979903328,-0.152756277550536,10
default_shortboard,20,0,2,20459.9978652252,1023,19.9999979132211,10.7644211565537,0.509684256224098,10
default_shortboard,20,0,3,20459.9989707819,1023,19.9999989939217,6.25002663986243,0.381545003815063,10
default_shortboard,20,0,4,20460.0007661345,1023,20.0000007489096,4.44882935108857,-0.241946043351129,10
default_shortboard,20,0,5,20459.999460942,1023,19.9999994730616,3.36338749629484,-0.789339630780354,10
default_shortboard,20,0,6,20460.0014773096,1023,20.0000014440954,2.77776950674369,-0.899118482300501,10
default_shortboard,20,0,7,20460.0008048067,1023,20.0000007867123,2.46879012476768,-0.850901771670916,10
default_shortboard,20,0,8,20460.0007445051,1023,20.0000007277665,2.35983818571553,-0.837177815032147,10
default_shortboard,20,0,9,20460.0011282659,1023,20.0000011028993,2.24957142093996,-0.719554326740705,10
default_shortboard,20,1,0,20459.9996622209,1023,19.9999996698151,26.4739344625676,-4.85442895601154,10
default_shortboard,20,1,1,20460.0000177557,1023,20.0000000173565,14.5742115302779,-1.23089272539839,10
default_shortboard,20,1,2,20459.9990778134,1023,19.9999990985468,13.1159245032523,-0.480708454206223,10
default_shortboard,20,1,3,20459.9991131096,1023,19.9999991330495,6.95149911093437,0.0188585584136227,10
default_shortboard,20,1,4,20460.0035872326,1023,20.0000035065812,4.31752380461239,-0.721571597151528,10
default_shortboard,20,1,5,20459.9996175286,1023,19.9999996261277,3.49273439132735,-0.561842482451942,10
default_shortboard,20,1,6,20460.003438759,1023,20.0000033614457,2.91670699718469,-0.607387107582154,10
default_shortboard,20,1,7,20459.9985751489,1023,19.9999986071837,2.69812649412202,-0.485866606997978,10
default_shortboard,20,1,8,20459.9987800055,1023,19.9999988074345,2.68079403841912,-0.448953352327946,10
default_shortboard,20,2,0,20460.002095987,1023,20.0000020488631,22.6894152924547,-1.98786513357066,10
default_shortboard,20,2,1,20459.9990756292,1023,19.9999990964117,9.63424402309976,-0.655028285249852,10
